#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$204,652,962,595",$12169.60,"16,816,737","$10,559,300,000",1.81%,-3.81%,-11.16%
2,ETHEthereum,ETH,"$107,128,835,124",$1103.08,"97,117,920","$3,459,250,000",2.38%,-1.63%,-17.49%
3,XRPRipple,XRP,"$57,298,678,740",$1.48,"38,739,142,811","$2,612,120,000",3.85%,-5.48%,-21.31%
4,BCHBitcoin Cash,BCH,"$31,593,962,674",$1866.85,"16,923,675","$1,060,260,000",2.66%,-1.36%,-27.55%
5,ADACardano,ADA,"$16,845,880,738",$0.649741,"25,927,070,538","$713,747,000",2.91%,-5.89%,-17.10%
6,LTCLitecoin,LTC,"$10,870,134,259",$198.16,"54,854,233","$485,364,000",2.10%,-2.66%,-18.32%
7,XEMNEM,XEM,"$10,104,299,999",$1.12,"8,999,999,999","$121,698,000",3.56%,-1.95%,-19.09%
8,NEONEO,NEO,"$9,261,330,000",$142.48,"65,000,000","$443,721,000",3.53%,0.02%,0.44%
9,XLMStellar,XLM,"$8,873,510,418",$0.495934,"17,892,522,831","$173,643,000",3.23%,-4.27%,-19.24%
10,EOSEOS,EOS,"$8,632,427,441",$13.98,"617,563,595","$2,978,960,000",3.58%,1.83%,-3.00%
11,MIOTAIOTA,MIOTA,"$8,104,304,241",$2.92,"2,779,530,283","$109,090,000",1.98%,-3.12%,-21.37%
12,DASHDash,DASH,"$6,768,834,528",$864.35,"7,831,136","$124,321,000",1.82%,-4.63%,-16.63%
13,XMRMonero,XMR,"$5,738,987,845",$367.22,"15,628,158","$173,471,000",2.09%,-5.99%,-9.06%
14,TRXTRON,TRX,"$5,172,568,098",$0.078672,"65,748,192,475","$621,809,000",2.35%,-5.18%,-16.77%
15,ICXICON,ICX,"$3,615,584,749",$9.51,"380,045,004","$107,891,000",2.59%,-2.98%,-2.78%
16,BTGBitcoin Gold,BTG,"$3,586,877,312",$213.80,"16,777,024","$231,405,000",1.31%,-4.18%,-31.31%
17,QTUMQtum,QTUM,"$3,417,828,541",$46.30,"73,823,496","$1,847,800,000",3.44%,11.45%,-9.01%
18,ETCEthereum Classic,ETC,"$3,216,213,256",$32.40,"99,276,872","$426,673,000",2.31%,-3.01%,-25.69%
19,LSKLisk,LSK,"$2,749,829,382",$23.46,"117,227,520","$50,003,800",2.01%,-4.72%,-15.23%
20,XRBRaiBlocks,XRB,"$2,541,617,843",$19.07,"133,248,289","$17,593,500",-0.30%,-0.08%,-11.83%
21,VENVeChain,VEN,"$2,191,538,801",$7.91,"277,162,633","$230,077,000",6.06%,8.08%,25.75%
22,OMGOmiseGO,OMG,"$1,857,562,204",$18.20,"102,042,552","$69,385,100",2.03%,-5.65%,-21.82%
23,PPTPopulous,PPT,"$1,689,914,702",$45.67,"37,004,027","$2,861,210",3.56%,-2.78%,-7.54%
24,XVGVerge,XVG,"$1,640,304,905",$0.113151,"14,496,601,043","$200,377,000",5.74%,3.74%,-20.12%
25,USDTTether,USDT,"$1,621,602,080",$1.00,"1,618,090,823","$3,192,660,000",-0.48%,-0.39%,-1.41%
26,ZECZcash,ZEC,"$1,596,126,007",$514.13,"3,104,506","$113,321,000",2.18%,-5.90%,-24.29%
27,SCSiacoin,SC,"$1,524,647,092",$0.048562,"31,396,146,174","$131,455,000",4.15%,-3.07%,-19.49%
28,BNBBinance Coin,BNB,"$1,464,040,807",$14.79,"99,014,000","$154,078,000",1.96%,-6.14%,-27.99%
29,STRATStratis,STRAT,"$1,412,657,364",$14.31,"98,709,227","$37,403,000",1.42%,-9.68%,-22.32%
30,BCNBytecoin,BCN,"$1,357,621,561",$0.007391,"183,676,579,755","$7,402,960",1.03%,-5.69%,-29.65%
31,STEEMSteem,STEEM,"$1,344,916,192",$5.44,"247,439,657","$87,567,700",9.90%,-0.80%,-5.08%
32,ARDRArdor,ARDR,"$1,210,108,068",$1.21,"998,999,495","$71,630,400",3.31%,-15.04%,?
33,REPAugur,REP,"$1,074,714,300",$97.70,"11,000,000","$54,482,300",4.84%,12.66%,1.13%
34,SNTStatus,SNT,"$1,074,135,555",$0.309506,"3,470,483,788","$324,048,000",2.63%,-8.19%,-27.80%
35,MKRMaker,MKR,"$1,043,766,309",$1688.32,"618,228","$863,330",0.80%,3.77%,26.53%
36,BTSBitShares,BTS,"$1,016,982,580",$0.390052,"2,607,300,000","$50,750,400",4.33%,-0.95%,-28.73%
37,KCSKuCoin Shares,KCS,"$935,239,998",$10.27,"91,043,076","$7,091,100",2.71%,1.65%,-33.17%
38,ZRX0x,ZRX,"$900,422,935",$1.81,"497,776,501","$20,015,500",3.02%,-6.84%,-12.31%
39,WAVESWaves,WAVES,"$897,613,000",$8.98,"100,000,000","$40,839,700",1.83%,-5.59%,-18.27%
40,DOGEDogecoin,DOGE,"$880,578,772",$0.007802,"112,867,799,719","$21,062,800",2.47%,-7.50%,-35.91%
41,ETNElectroneum,ETN,"$833,709,615",$0.141039,"5,911,199,136","$7,148,680",2.93%,-5.73%,-13.90%
42,VERIVeritaseum,VERI,"$816,350,628",$400.83,"2,036,645","$1,542,410",3.81%,-11.01%,-3.48%
43,KMDKomodo,KMD,"$751,405,698",$7.31,"102,859,018","$27,581,200",4.29%,-11.61%,-8.36%
44,DCRDecred,DCR,"$703,341,451",$106.57,"6,599,683","$1,520,180",0.43%,-4.14%,-4.10%
45,DRGNDragonchain,DRGN,"$701,494,569",$2.94,"238,421,940","$4,401,720",1.66%,-1.66%,-22.55%
46,WTCWalton,WTC,"$681,087,169",$27.35,"24,898,178","$58,996,600",6.25%,10.22%,2.28%
47,LRCLoopring,LRC,"$659,932,880",$1.18,"561,167,415","$31,467,200",4.89%,-4.53%,3.24%
48,DCNDentacoin,DCN,"$650,663,346",$0.002001,"325,190,215,376","$1,521,080",3.02%,-12.57%,-44.76%
49,ARKArk,ARK,"$639,540,497",$6.53,"97,981,284","$15,135,400",2.73%,-6.40%,-20.29%
50,SALTSALT,SALT,"$620,312,954",$8.72,"71,105,820","$15,545,900",2.92%,-2.96%,-19.88%
51,QASHQASH,QASH,"$604,562,000",$1.73,"350,000,000","$10,306,800",2.04%,-3.16%,-21.90%
52,DGBDigiByte,DGB,"$598,854,117",$0.061558,"9,728,227,451","$15,026,900",2.31%,-4.54%,-34.23%
53,BATBasic Attenti...,BAT,"$581,564,000",$0.581564,"1,000,000,000","$10,707,900",0.83%,-8.30%,-14.29%
54,GNTGolem,GNT,"$557,654,926",$0.668441,"834,262,000","$10,449,800",2.25%,-8.10%,-25.32%
55,HSRHshare,HSR,"$557,307,965",$13.11,"42,524,414","$103,112,000",2.73%,-3.01%,-30.47%
56,GASGas,GAS,"$528,546,230",$55.31,"9,555,638","$7,882,890",2.28%,-4.78%,-6.52%
57,KNCKyber Network,KNC,"$526,918,839",$3.93,"134,132,697","$33,754,000",1.49%,-9.62%,-6.48%
58,WAXWAX,WAX,"$515,196,646",$1.05,"492,954,537","$2,391,620",1.57%,-14.75%,-30.48%
59,ETHOSEthos,ETHOS,"$514,299,657",$6.82,"75,405,089","$3,038,580",3.14%,-3.40%,-7.22%
60,AIONAion,AION,"$497,077,023",$6.38,"77,953,424","$14,238,700",8.81%,10.84%,-17.97%
61,PIVXPIVX,PIVX,"$497,037,647",$8.97,"55,402,585","$6,944,520",1.18%,-10.94%,-24.18%
62,SMARTSmartCash,SMART,"$492,103,111",$0.800950,"614,399,290","$1,204,770",10.30%,-23.46%,-60.19%
63,FUNFunFair,FUN,"$491,596,757",$0.111244,"4,419,085,589","$19,228,300",3.55%,-9.57%,-13.25%
64,GBYTEByteball Bytes,GBYTE,"$489,877,101",$759.24,"645,222","$1,714,270",0.59%,-12.96%,-25.31%
65,RHOCRChain,RHOC,"$473,783,179",$1.94,"244,040,764","$813,890",3.47%,-7.40%,-25.96%
66,ZCLZClassic,ZCL,"$470,399,655",$149.81,"3,139,975","$11,079,700",3.29%,-9.34%,-24.95%
67,FCTFactom,FCT,"$466,899,247",$53.39,"8,745,102","$15,430,500",5.22%,-6.29%,-18.00%
68,DENTDent,DENT,"$442,240,663",$0.041663,"10,614,760,961","$11,885,600",2.92%,-4.21%,-26.64%
69,MONAMonaCoin,MONA,"$434,910,226",$7.65,"56,869,000","$21,848,600",5.30%,-0.78%,-1.89%
70,ELFaelf,ELF,"$422,620,000",$1.69,"250,000,000","$97,507,000",5.16%,-6.78%,6.42%
71,POWRPower Ledger,POWR,"$408,429,207",$1.13,"360,621,601","$50,929,900",3.08%,-8.18%,-18.27%
72,DGDDigixDAO,DGD,"$399,996,000",$200.00,"2,000,000","$4,567,320",2.67%,-2.72%,-2.38%
73,KINKin,KIN,"$398,612,366",$0.000527,"756,097,560,976","$968,183",2.03%,-6.98%,-16.97%
74,RDDReddCoin,RDD,"$381,802,784",$0.013289,"28,730,522,337","$6,385,570",3.31%,-8.26%,-30.20%
75,BTMBytom,BTM,"$379,132,362",$0.384126,"987,000,000","$17,499,300",3.60%,-6.15%,-35.36%
76,NASNebulas,NAS,"$376,775,700",$10.61,"35,500,000","$18,368,500",4.99%,8.09%,-2.43%
77,AEAeternity,AE,"$372,581,093",$1.60,"233,020,472","$1,831,420",1.23%,-6.48%,-24.08%
78,SYSSyscoin,SYS,"$365,966,947",$0.689988,"530,396,103","$7,427,050",1.40%,-3.04%,-22.27%
79,LINKChainLink,LINK,"$360,899,000",$1.03,"350,000,000","$27,480,500",6.55%,15.88%,1.20%
80,NEBLNeblio,NEBL,"$353,076,381",$27.71,"12,742,116","$14,432,500",3.56%,-5.27%,3.67%
81,ENGEnigma,ENG,"$349,547,033",$4.67,"74,836,171","$11,832,400",3.27%,-9.14%,-20.26%
82,REQRequest Network,REQ,"$342,099,399",$0.533659,"641,044,935","$18,133,400",0.60%,-8.97%,-24.55%
83,MAIDMaidSafeCoin,MAID,"$328,126,747",$0.725058,"452,552,412","$5,815,430",2.18%,-7.39%,-24.87%
84,GXSGXShares,GXS,"$326,732,400",$5.45,"60,000,000","$10,037,600",0.97%,-10.40%,-38.30%
85,SUBSubstratum,SUB,"$326,586,837",$1.44,"226,091,449","$24,573,500",2.23%,1.91%,-21.38%
86,XZCZCoin,XZC,"$325,603,837",$83.43,"3,902,649","$3,538,950",1.88%,-4.37%,-15.81%
87,NXSNexus,NXS,"$325,035,434",$5.89,"55,139,817","$2,168,020",1.78%,-12.85%,-32.32%
88,MEDMediBloc,MED,"$320,847,071",$0.108161,"2,966,384,100","$8,536,780",2.79%,-8.49%,-34.80%
89,NXTNxt,NXT,"$320,638,022",$0.320959,"998,999,942","$13,924,900",2.36%,-5.45%,-25.14%
90,XPExperience Po...,XP,"$311,484,104",$0.001472,"211,548,562,853","$2,142,670",-5.97%,-15.96%,-35.96%
91,EMCEmercoin,EMC,"$307,443,370",$7.46,"41,217,055","$2,371,990",1.18%,-18.02%,-21.39%
92,BTXBitcore,BTX,"$304,834,256",$28.32,"10,763,427","$3,435,250",0.76%,-5.31%,12.19%
93,BNTBancor,BNT,"$302,983,610",$7.43,"40,772,871","$31,287,100",2.19%,-1.33%,-22.96%
94,CNDCindicator,CND,"$295,600,994",$0.204430,"1,445,976,590","$34,619,800",3.04%,-2.96%,89.02%
95,QSPQuantstamp,QSP,"$290,803,125",$0.471078,"617,314,171","$9,293,550",2.60%,-11.04%,-5.64%
96,GAMEGameCredits,GAME,"$278,136,752",$4.32,"64,355,352","$4,806,210",1.57%,-7.87%,-30.22%
97,CNXCryptonex,CNX,"$277,775,400",$6.16,"45,075,701","$287,328",-3.27%,3.36%,10.94%
98,PAYTenX,PAY,"$277,652,849",$2.65,"104,661,310","$6,420,240",3.00%,-3.07%,-27.37%
99,ICNIconomi,ICN,"$277,599,116",$2.78,"99,788,314","$4,438,220",1.69%,-4.93%,-31.40%
100,GNOGnosis,GNO,"$271,615,367",$245.90,"1,104,590","$3,184,540",2.18%,-5.54%,-31.62%
